skill_name,skill_id,belongs_to,source
18th Century,75673,75673,linkedin
19 years of experience in the field of food industry and applied science.,38433,38433,manual
1940 Act,55382,55382,linkedin
1989-Present Food Service Sargent Minnesota Army National Guard,20430,20430,manual
19th Century,75225,75225,linkedin
"1C671 (Space Systems Operator, Craftsman level)",14896,14896,manual
1H NMR,68947,68947,linkedin
1SYNC,82066,82066,linkedin
1ShoppingCart,76802,76802,linkedin
1st Aid CPR AED Certified,17034,17034,manual
1st Degree Black belt in Tae Kwon Do,43160,43160,manual
1st Line,58760,58760,linkedin
2,37476,37476,manual
2 + Years retail sales,15425,15425,manual
2 1/2 years automotive service tech,16044,16044,manual
2 1/2- 5 Ton Truck w/ Trailer Operator,14025,14025,manual
"2 year Hazmat Certifier, 2 yrs airload planner, 1yr Equal Opportunity Rep",18091,18091,manual
2 years experience as a supervisor,16038,16038,manual
2 years lab generlist,36078,36078,manual
2 years of Russian Language experience,17580,17580,manual
2 years of computer programming experience (C++ & Assembly),39212,39212,manual
2 years of concrete construction with the capability to handle any job required when doing a concrete job.,38890,38890,manual
2 years of experience as a water polo coach,17575,17575,manual
"2 years vocational training in metal trades, welding",37524,37524,manual
2 yrs Tech Support,45203,45203,manual
"2 yrs experience as a Continuous Process Improvement Instructor/Facilitator. Introduced over 800 personnel to the concepts of CPI, Lean and Six Sigma",37913,37913,manual
2+ years of Teamleader Experience,32096,32096,manual
2+ years of college in the Business field and type at least 40wpm,39710,39710,manual
2-4 Family,57926,57926,linkedin
2-4 Units,75624,75624,linkedin
2-D,73230,73230,linkedin
2-D Design,68890,68890,linkedin
"2. Purchasing and recieveing parts for electrical,  airconditioning, plumbing",23285,23285,manual
"20 Years Customer Service, Professional Greetings",44644,44644,manual
20 Years Forklift experience 4-10K All Terrain,19417,19417,manual
20 hour Illinois security training certificate,36937,36937,manual
20 hours or beginner wielding,24483,24483,manual
20 years experience using Maps and coordinates,47399,47399,manual
20 years key experience in the U.S. Navy and Golf War Veteran.,26934,26934,manual
20 years leadership with organizational and personnel management experience,32331,32331,manual
"20 years of telecommunications/client systems installation, maintenance, & management experience.",37153,37153,manual
"20 years’ experience and operation on all makes and models of forklifts; 5000 Lbs. all the way up to 20,000 lbs., capacity but also can operate 100,000 lbs. forklift. Propane, Gas, Electric, and Diesel forklifts with Pneumatic, Solid pneumatic, or Hard rubber tires. Also experience with 2 stage and 3 stage and trucker special forklifts with full free or standard. Can operate all attachments. The ability to work in a progressive manner with minimal supervision while completing jobs on time. I can multi -task, pay great attention to detail, work under stressful time restraints and do it all with a smile. Deliver excellence and a can do attitude. I am a fast learner and enjoy being around people.",23601,23601,manual
"20 years’ experience in  Logistics Services: petroleum supply, water treatment and material distribution",25777,25777,manual
20+ Years in Sales and Management,35140,35140,manual
20+ years Transportation Industry Experience,30402,30402,manual
20+ years experience with MS Office Suite,44890,44890,manual
20+ years of Leadership experience,23052,23052,manual
20+years of customer service,27881,27881,manual
20-20 CAP Studio,63849,63849,linkedin
20/20 Design,62943,62943,linkedin
20/20 Design Software,56760,56760,linkedin
20/20 Technologies,60003,60003,linkedin
200+ Employees,21992,21992,manual
2007 / 2013 Microsoft Office proficient,37427,37427,manual
2008 Administration,56218,56218,linkedin
2008 R2,52183,52183,linkedin
2010 Microsoft Office,10652,10652,manual
2010& 2013 MS office,21050,21050,manual
203K,67581,67581,linkedin
20th Century,76942,76942,linkedin
21 CFR,48827,48827,linkedin
21 CFR Part 11,82828,82828,linkedin
"21 year veteran of the United States Army with experience as a Platoon Sergeant, maintenance shop operations manager, safety inspector, Hazmat storage coordinator and counselor. Quick learner that networks and researches all possible venues to obtain the best solution for the task at hand. Current valid Secret security clearance.  Counseled and evaluated people from diverse cultural backgrounds on their performance and provided training and guidance for their professional advancement. Able to easily influence and communicate with personnel to obtain desired results.  Effective oral and written communication skills and computer automation experience in office automations to include but not limited to Windows word document, power point and excel.  Performed administrative duties involving the composition and distribution of correspondence, publications and reports. Managed routine administrative functions and supervised the preparation of maintenance, budgeting, repair parts inventory and personnel reports.",43890,43890,manual
21 years of management and leadership experience,22668,22668,manual
21st Century Skills,61061,61061,linkedin
22 years (cumulative) of experience as Manager/Assistant Manager,45725,45725,manual
24 Hour Emergency Service,61579,61579,linkedin
"24+ years of extensive management in aviation operations, training and maintenance as chief executive, director, chief of staff, program and operations manager, aircraft pilot and logistics specialist.",32605,32605,manual
24/7 Operations,75815,75815,linkedin
"240 Hours Instructing C-17 Aircraft Maintenance to Ally Nation C-17 Maintenance practices, principles, and mission.",34256,34256,manual
24x7,83668,83668,linkedin
24x7 Production Support,81358,81358,linkedin
25 wpm typing skills,11570,11570,manual
"25 years Heavy Haul Truck Driving, 3 years Heavy Equipment Operator, 2 years Transportation Broker",11641,11641,manual
25 years experience in a Logistics supervisory position,44283,44283,manual
250-C30R/3 Engine,16775,16775,manual
2780,17286,17286,manual
2800 Series,73799,73799,linkedin
2824,16444,16444,manual
28xx,51171,51171,linkedin
29 CFR 1910,32736,32736,manual
2900 Series,72700,72700,linkedin
2D,14336,14336,manual
2D Animation,39693,39693,manual
2D Illustration,37253,37253,manual
2D Software,69649,69649,linkedin
2D art,61145,61145,linkedin
2D graphics,53122,53122,linkedin
2D to 3D conversion,64022,64022,linkedin
2D/3D/Frontier,22019,22019,manual
2G,80430,80430,linkedin
2M,14346,14346,manual
2S Battle Staff Skill Identifier,28639,28639,manual
2T171,44737,44737,manual
"2T251 (Air Transportation, Journeyman level)",37884,37884,manual
2k8,74942,74942,linkedin
2nd Line,63072,63072,linkedin
2nd Mate US Coast Guard License (Unlimited),21553,21553,manual
3,42426,42426,manual
3 Years Aviation Maintenance Experience,16761,16761,manual
3 Years as a trainer,46782,46782,manual
3 factor authentication technologies,28194,28194,manual
3 years Maritime experience with Coastal Riverine Squadron 11 (Tactical craft crewman),20722,20722,manual
3 years as small group supervisor.,16646,16646,manual
3 years experience as Barn Manager at an Equine Riding and Boarding Facility.,25219,25219,manual
3 years experience as a supervisor of 4 subordinates.,32175,32175,manual
3 years in retail,44675,44675,manual
3 years of experience as a diesel mechanic in the United States Army,11777,11777,manual
3 years of experience with intelligence research tool M3,29100,29100,manual
3 years of military experience in logistics,39869,39869,manual
3 years on an oil rig (jack of all trades),20593,20593,manual
3 years retail and customer service experience prior to military service,27900,27900,manual
